Variant,Acc,F1,MCC
Full Model,0.86761222809127,0.8262448228766772,0.653999653439341
w/o NLI,0.8682114292892736,0.8256758540468855,0.6525654970922272
w/o TF-IDF,0.8694106292908688,0.8279749281897054,0.6578284308507161
w/o EE-Int,0.8670134256960604,0.8252726497452079,0.6529014938129407
